experiment_name,precision,recall,mAP50,mAP50-95,training_time_ms,eval_time_ms
ir-3754523883,0.977450,0.946810,0.975210,0.602760,1140161,4692
ir-3492508408,0.981920,0.973540,0.981870,0.618230,1116998,4949
ir-3492508408,0.960020,0.899470,0.945640,0.578970,1159743,4827
ir-3492508408,0.972770,0.945000,0.974390,0.600060,1168171,4692
ir-3492508408,0.975480,0.947090,0.978630,0.603510,1150688,4571
ir-3492508408,0.971900,0.919990,0.966560,0.608820,1166475,4698
ir-3492508408,0.976830,0.957670,0.968010,0.592510,1153901,4677
ir-3492508408,0.941860,0.947090,0.966750,0.600830,1171529,4902
ir-3492508408,0.956810,0.937800,0.969400,0.591760,1161005,4655
ir-3492508408,0.983150,0.925930,0.968440,0.604200,1134011,4619
ir-3492508408,0.962200,0.947770,0.975690,0.632360,1125437,4733
ir-3492508408,0.956840,0.938510,0.963750,0.614470,1111913,4660
ir-3492508408,0.982010,0.915340,0.952700,0.612760,1146411,4705
ir-3492508408,0.958140,0.968760,0.991610,0.620590,1162227,4805
ir-3492508408,0.972470,0.934430,0.966040,0.599420,1167063,4835
ir-3492508408,0.972820,0.952080,0.975360,0.603560,1126688,4717
ir-3492508408,0.988860,0.939350,0.976180,0.615820,1152452,4687
ir-3492508408,0.960390,0.952380,0.973630,0.592310,1156916,4684
ir-3492508408,0.956670,0.934550,0.962050,0.587510,1165860,4776
ir-3492508408,0.965530,0.925930,0.956060,0.609230,1112291,4791
ir-3492508408,0.950780,0.924810,0.952320,0.610780,1118375,4537
ir-3492508408,0.962580,0.952670,0.973180,0.607080,1148409,4736
ir-3492508408,0.948740,0.931220,0.970350,0.608860,1142536,4800
ir-3492508408,0.968450,0.941800,0.952520,0.578170,1152401,4858
ir-3492508408,0.966190,0.894180,0.953690,0.586720,1125589,4815
ir-3492508408,0.992620,0.952130,0.972850,0.612540,1134734,4597
ir-3378715402,0.984190,0.987920,0.986940,0.619770,1155291,4681
ir-3378715402,0.955310,0.904800,0.934630,0.567650,1151025,4741
ir-3378715402,0.953860,0.941800,0.975490,0.594610,1122574,4786
ir-3378715402,0.971340,0.957670,0.968760,0.601450,1099340,4770
ir-3378715402,0.897560,0.797870,0.852770,0.439080,1241822,6118
ir-3378715402,0.957320,0.949510,0.970040,0.592440,1197500,5194
ir-3378715402,0.968190,0.936510,0.959680,0.613380,1222662,4734
ir-3378715402,0.971230,0.931220,0.975160,0.617070,1210164,4871
ir-3378715402,0.951780,0.939880,0.960690,0.615320,1220632,4753
ir-3378715402,0.978140,0.951840,0.974700,0.611370,1195065,4809
